"gr_id","flag_id","fleet_id","yy","mm","mondate","dup_pac","ocean_id","vessel","alb_c","bet_c","skj_c","yft_c","pbf_c","oth_c","bum_c","blm_c","mls_c","swo_c","sfa_c","fal_c","ocs_c","mak_c","bsh_c","thr_c","por_c","ham_c","rhn_c","skj_lo","yft_lo","bet_lo","skj_hi","yft_hi","bet_hi","skj_un","yft_un","bet_un"
"P","JP","DW",1956,1,1956-01-01,FALSE,"WX",4079,42810,4400,91950,4399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S","JP","CS",1956,1,1956-01-01,FALSE,"WX",0,0,908,2145,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2145,724,908,2145,724,908
"L","JP","CS",1957,1,1957-01-01,FALSE,"WX",443,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","JP","DW",1957,1,1957-01-01,FALSE,"WX",1475,24113,34725,0,39348,0,0,0,0,0,0,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","TW","OD",1957,1,1957-01-01,FALSE,"WX",0,0,0,0,2109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","US","HW",1957,1,1957-01-01,FALSE,"WX",49,4,738,17,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","ID","  ",1957,1,1957-01-01,FALSE,"WX",0,0,0,4503,1289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","JP","  ",1957,1,1957-01-01,FALSE,"WX",0,151,0,1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","PH","  ",1957,1,1957-01-01,FALSE,"WX",0,0,0,3978,2687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P","JP","DW",1957,1,1957-01-01,FALSE,"WX",4560,49500,5200,92156,1669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S","JP","CS",1957,1,1957-01-01,FALSE,"WX",0,83,49,2813,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2813,1496,49,2813,1496,49
"L","JP","CS",1958,1,1958-01-01,FALSE,"WX",366,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
